<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190601,010000,61.7200000,61.9200000,61.6400000,61.7600000,338
20190602,200000,60.8100000,60.8100000,59.7100000,59.8500000,669
20190602,210000,59.9200000,60.3600000,59.9200000,60.3500000,149
20190602,220000,60.3600000,60.5600000,60.0200000,60.1000000,420
20190602,230000,60.1300000,60.4300000,59.9600000,60.2000000,2591
20190603,000000,60.1600000,60.3900000,60.1200000,60.3900000,303
20190603,010000,60.3800000,60.6400000,60.3300000,60.3300000,601
20190603,020000,61.6400000,61.6800000,60.3000000,60.7100000,3222
20190603,030000,60.7700000,61.2500000,60.2800000,61.2000000,835
20190603,040000,61.2100000,61.4300000,60.8500000,60.9600000,3327
20190603,050000,60.9600000,61.2700000,60.7600000,61.0400000,6272
20190603,060000,61.0200000,61.2000000,60.9500000,61.1800000,1468
20190603,070000,61.1800000,61.4500000,61.1500000,61.1500000,2838
20190603,080000,61.1500000,61.6300000,61.0700000,61.1000000,1446
20190603,090000,61.1000000,61.7800000,61.0800000,61.2900000,1472
20190603,100000,61.3100000,61.3600000,61.1500000,61.2900000,3411
20190603,110000,61.2800000,61.3300000,60.9200000,60.9400000,13158
20190603,120000,60.9300000,61.1000000,60.7500000,61.1000000,22492
20190603,130000,61.1000000,62.3100000,61.0600000,62.1600000,30982
20190603,140000,62.1500000,62.6400000,62.1000000,62.6200000,16264
20190603,150000,62.6100000,62.7000000,62.3400000,62.5800000,12381
20190603,160000,62.5700000,62.8400000,62.5100000,62.7400000,12458
20190603,170000,62.7400000,62.7400000,62.0000000,62.0200000,26785
20190603,180000,62.0100000,62.2800000,61.7000000,61.9400000,24978
20190603,190000,61.9300000,62.0600000,61.2100000,61.6300000,37896
20190603,200000,61.6300000,61.9000000,61.2500000,61.7600000,13255
20190603,210000,61.7600000,62.0700000,61.5200000,61.5400000,14705
20190603,220000,61.5300000,61.6200000,60.7100000,60.7600000,22067
20190603,230000,60.7700000,60.8000000,60.6300000,60.7700000,5231
20190604,000000,60.7700000,60.8900000,60.7000000,60.8000000,1603
20190604,010000,60.8000000,60.9800000,60.1000000,60.9000000,413
20190604,020000,60.2200000,60.3100000,60.1800000,60.1800000,197
20190604,030000,60.1900000,60.3100000,60.1000000,60.2300000,169
20190604,040000,61.0000000,61.1500000,60.7900000,61.1000000,1521
20190604,050000,61.1200000,61.4100000,61.0300000,61.0300000,3053
20190604,060000,61.0400000,61.1200000,60.3900000,61.0300000,2444
20190604,070000,61.0300000,61.0600000,59.4700000,61.0100000,1836
20190604,080000,61.0300000,61.1200000,60.9800000,60.9900000,622
20190604,090000,60.9900000,61.1500000,60.9000000,61.0500000,1465
20190604,100000,61.0700000,61.1300000,60.7800000,61.1300000,4013
20190604,110000,61.1400000,61.3500000,60.9000000,61.2300000,8784
20190604,120000,61.2200000,61.2900000,60.7500000,61.2100000,23988
20190604,130000,61.2200000,61.3100000,60.2100000,60.4900000,21991
20190604,140000,60.4900000,60.9000000,60.3900000,60.5100000,14126
20190604,150000,60.5200000,60.6200000,60.2500000,60.5900000,11665
20190604,160000,60.5900000,60.8700000,60.4800000,60.7900000,12598
20190604,170000,60.7900000,61.2500000,60.7800000,60.8900000,21066
20190604,180000,60.8900000,61.6000000,60.6500000,61.5300000,29824
20190604,190000,61.5200000,62.1200000,61.4600000,61.7500000,44153
20190604,200000,61.7600000,61.9400000,61.6100000,61.8100000,12220
20190604,210000,61.8200000,61.9300000,61.6800000,61.8500000,10607
20190604,220000,61.8600000,62.0800000,61.7500000,61.9400000,16467
20190604,230000,61.9400000,62.0700000,61.9400000,62.0400000,2329
20190605,000000,62.0300000,62.0600000,61.2700000,61.4900000,6081
20190605,010000,61.4800000,61.5800000,60.7200000,61.4000000,410
20190605,020000,60.8000000,60.8100000,60.7800000,60.8000000,19
20190605,030000,60.7800000,60.8100000,60.5500000,60.7200000,179
20190605,040000,61.5800000,61.6900000,60.6100000,61.6500000,1145
20190605,050000,61.6600000,61.9800000,60.6600000,61.7400000,3096
20190605,060000,61.7100000,61.7900000,60.4700000,61.7100000,872
20190605,070000,61.7200000,61.7900000,60.7100000,61.6900000,1207
20190605,080000,61.7000000,61.7200000,61.0500000,61.7000000,484
20190605,090000,61.7200000,61.7400000,60.8100000,61.6300000,1751
20190605,100000,61.6300000,61.6400000,61.4600000,61.4800000,2775
20190605,110000,61.4800000,61.6100000,61.3900000,61.5000000,6191
20190605,120000,61.5000000,61.7300000,61.3000000,61.6800000,12061
20190605,130000,61.6700000,62.2500000,61.5900000,62.2300000,12639
20190605,140000,62.2400000,62.2700000,61.9200000,61.9700000,10664
20190605,150000,61.9600000,62.0500000,61.7200000,61.7700000,7618
20190605,160000,61.7600000,61.8000000,61.4700000,61.6300000,8672
20190605,170000,61.6300000,61.7600000,61.3800000,61.4300000,14977
20190605,180000,61.4300000,61.5900000,60.1000000,60.3600000,56831
20190605,190000,60.3500000,60.6500000,59.4500000,59.6700000,56871
20190605,200000,59.6700000,60.5500000,59.6500000,60.2600000,24588
20190605,210000,60.2500000,61.0800000,60.2500000,60.8600000,16798
20190605,220000,60.8600000,61.1600000,60.3700000,60.5800000,21191
20190605,230000,60.5800000,60.6800000,60.3100000,60.6300000,5140
20190606,000000,60.6500000,60.6700000,60.4900000,60.5700000,1311
20190606,010000,60.5900000,60.6000000,59.5300000,60.5000000,354
20190606,020000,59.6500000,59.7100000,59.6000000,59.7000000,42
20190606,030000,59.7200000,59.7200000,59.5200000,59.5600000,350
20190606,040000,60.4000000,60.7100000,59.6900000,60.6000000,890
20190606,050000,60.5900000,60.8000000,60.3600000,60.7900000,2373
20190606,060000,60.7800000,60.9300000,60.0900000,60.7600000,1994
20190606,070000,60.7700000,60.8600000,59.9400000,60.7700000,1064
20190606,080000,60.7700000,60.8400000,59.9400000,60.8300000,782
20190606,090000,60.8300000,60.8500000,60.0700000,60.6700000,958
20190606,100000,60.6700000,60.9500000,60.6600000,60.7600000,3875
20190606,110000,60.7500000,60.8800000,59.4500000,59.6600000,4671
20190606,120000,59.6500000,59.8600000,59.1300000,59.4000000,5208
20190606,130000,59.4100000,59.6200000,59.0700000,59.4100000,5557
20190606,140000,59.4100000,59.7200000,59.3500000,59.4500000,3008
20190606,150000,59.4400000,59.6500000,59.3800000,59.5300000,1978
20190606,160000,59.5300000,61.0700000,59.5100000,60.7700000,7142
20190606,170000,60.7700000,61.0300000,60.7000000,60.8600000,3602
20190606,180000,60.8500000,61.0700000,60.3100000,60.5700000,21619
20190606,190000,60.5700000,60.7700000,60.2200000,60.5900000,30364
20190606,200000,60.5800000,60.8900000,60.4700000,60.5900000,10748
20190606,210000,60.5900000,60.7800000,60.5000000,60.6700000,8385
20190606,220000,60.6700000,62.2400000,60.6300000,61.9200000,28674
20190606,230000,61.9100000,62.3700000,61.8500000,62.2800000,5232
20190607,000000,62.3000000,62.4300000,61.1500000,62.3100000,1813
20190607,010000,62.2700000,62.2700000,61.2200000,62.2300000,215
20190607,020000,61.3500000,61.4700000,61.3200000,61.4100000,469
20190607,030000,61.3900000,61.4100000,61.3500000,61.4000000,58
