<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190501,000100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190501,001800,380.7100000,380.7100000,380.7100000,380.7100000,1
20190501,005300,380.7100000,380.7100000,380.7100000,380.7100000,1
20190501,005400,380.7100000,380.7100000,380.7100000,380.7100000,1
20190501,010000,380.6000000,380.6000000,380.6000000,380.6000000,0
20190501,012900,380.7100000,380.7100000,380.7100000,380.7100000,1
20190501,030100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190501,043800,380.6000000,380.6000000,380.6000000,380.6000000,1
20190501,073800,380.6000000,380.6000000,380.6000000,380.6000000,1
20190501,074300,380.6000000,380.6000000,380.6000000,380.6000000,4
20190501,104300,380.6000000,380.6000000,380.6000000,380.6000000,4
20190501,142300,380.3000000,380.3000000,380.3000000,380.3000000,1
20190501,144400,380.5000000,380.5000000,380.5000000,380.5000000,1
20190501,144500,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,145100,380.3000000,380.3000000,380.3000000,380.3000000,1
20190501,145400,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,154600,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,162900,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,165200,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,165700,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,170100,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,170300,380.4000000,380.4000000,380.4000000,380.4000000,2
20190501,172300,380.3000000,380.3000000,380.3000000,380.3000000,1
20190501,172800,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,172900,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,174400,380.5000000,380.5000000,380.5000000,380.5000000,1
20190501,174500,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,175100,380.3000000,380.3000000,380.3000000,380.3000000,1
20190501,175400,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,184600,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,185300,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,190300,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,192900,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,193100,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,195200,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,195700,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,200300,380.4000000,380.4000000,380.4000000,380.4000000,2
20190501,202800,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,202900,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,204500,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,215300,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,220300,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,222900,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,223000,380.4000000,380.4000000,380.4000000,380.4000000,2
20190501,223100,380.4000000,380.4000000,380.4000000,380.4000000,1
20190501,231600,380.4000000,380.4000000,380.4000000,380.4000000,2
20190501,231700,380.4000000,380.4000000,380.4000000,380.4000000,6
20190501,234500,380.4000000,380.4000000,380.4000000,380.4000000,1
20190502,000100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190502,004600,380.6000000,380.6000000,380.6000000,380.6000000,1
20190502,010000,380.6000000,380.6000000,380.6000000,380.6000000,0
20190502,012900,380.4000000,380.4000000,380.4000000,380.4000000,1
20190502,013000,380.4000000,380.4000000,380.4000000,380.4000000,2
20190502,021600,380.4000000,380.4000000,380.4000000,380.4000000,2
20190502,021700,380.4000000,380.4000000,380.4000000,380.4000000,6
20190502,025100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190502,030100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190502,034600,380.6000000,380.6000000,380.6000000,380.6000000,1
20190502,050700,380.6000000,380.6000000,380.6000000,380.6000000,1
20190502,053700,380.6000000,380.6000000,380.6000000,380.6000000,1
20190502,054700,380.7100000,380.7100000,380.7100000,380.7100000,1
20190502,055100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190502,062400,380.7100000,380.7100000,380.7100000,380.7100000,1
20190502,063200,380.9600000,380.9600000,380.6000000,380.6000000,4
20190502,063300,381.0100000,381.0100000,380.6000000,380.6000000,4
20190502,063600,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,063700,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,064000,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,071400,380.7100000,380.7100000,380.7100000,380.7100000,1
20190502,071500,380.8600000,380.9600000,380.8600000,380.9600000,4
20190502,071800,380.9100000,380.9100000,380.8000000,380.8600000,5
20190502,073000,380.9000000,380.9000000,380.9000000,380.9000000,1
20190502,073700,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,074700,380.8600000,380.8600000,380.8500000,380.8500000,2
20190502,074900,380.7100000,380.7100000,380.7100000,380.7100000,1
20190502,075800,380.1100000,380.1100000,380.1100000,380.1100000,1
20190502,080100,380.5600000,380.5600000,380.5600000,380.5600000,1
20190502,080200,380.4600000,380.4600000,380.4600000,380.4600000,1
20190502,080700,380.6000000,380.6000000,380.6000000,380.6000000,1
20190502,083200,380.5100000,380.5100000,380.5100000,380.5100000,1
20190502,083400,380.4600000,380.4600000,380.4600000,380.4600000,1
20190502,083700,380.6000000,380.6000000,380.6000000,380.6000000,1
20190502,084700,380.7100000,380.7100000,380.7100000,380.7100000,1
20190502,085000,380.4800000,380.4800000,380.4800000,380.4800000,1
20190502,085200,380.4600000,380.4600000,380.4600000,380.4600000,1
20190502,092400,380.7100000,380.7100000,380.7100000,380.7100000,1
20190502,092700,380.5600000,380.5600000,380.5600000,380.5600000,1
20190502,093200,380.9600000,380.9600000,380.6000000,380.6000000,4
20190502,093300,381.0100000,381.0100000,380.6000000,380.6000000,4
20190502,093600,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,093700,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,094000,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,094500,380.5100000,380.5100000,380.5100000,380.5100000,1
20190502,095200,380.7100000,380.7100000,380.7100000,380.7100000,1
20190502,095500,380.6800000,380.6800000,380.6800000,380.6800000,1
20190502,100200,380.7100000,380.7100000,380.7100000,380.7100000,1
20190502,101400,380.7100000,380.7100000,380.7100000,380.7100000,1
20190502,101500,380.8600000,380.9600000,380.8600000,380.9600000,4
20190502,101700,380.9600000,380.9600000,380.6800000,380.7100000,3
20190502,101800,380.9100000,380.9100000,380.8000000,380.8600000,5
20190502,103000,380.9000000,380.9000000,380.9000000,380.9000000,1
20190502,103700,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,104700,380.8600000,380.8600000,380.8500000,380.8500000,2
20190502,104900,380.7100000,380.7100000,380.7100000,380.7100000,1
20190502,105800,380.1100000,380.1100000,380.1100000,380.1100000,1
20190502,110100,380.5600000,380.5600000,380.5600000,380.5600000,1
20190502,110200,380.4600000,380.4600000,380.4600000,380.4600000,1
20190502,112600,381.0600000,381.0600000,381.0600000,381.0600000,1
20190502,113200,380.5100000,380.5100000,380.5100000,380.5100000,1
20190502,113400,380.4600000,380.4600000,380.4600000,380.4600000,1
20190502,114700,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,115000,380.4800000,380.4800000,380.4800000,380.4800000,1
20190502,115200,380.4600000,380.4600000,380.4600000,380.4600000,1
20190502,115500,381.0100000,381.0100000,381.0100000,381.0100000,1
20190502,120500,380.9600000,381.0100000,380.9600000,381.0100000,2
20190502,122700,380.5600000,380.5600000,380.5600000,380.5600000,1
20190502,122900,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,123400,381.1600000,381.1600000,380.6000000,380.6000000,4
20190502,123600,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,124500,380.5100000,380.5100000,380.5100000,380.5100000,1
20190502,125200,380.7100000,380.7100000,380.7100000,380.7100000,1
20190502,125500,380.6800000,380.6800000,380.6800000,380.6800000,1
20190502,130200,380.7100000,380.7100000,380.7100000,380.7100000,1
20190502,131700,380.9600000,380.9600000,380.6800000,380.7100000,3
20190502,133600,380.6000000,381.1600000,380.6000000,380.6000000,3
20190502,134100,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,140200,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,142600,381.0600000,381.0600000,381.0600000,381.0600000,1
20190502,144700,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,145500,381.0100000,381.0100000,381.0100000,381.0100000,1
20190502,150500,380.9600000,381.0100000,380.9600000,381.0100000,2
20190502,152900,380.9600000,380.9600000,380.9600000,380.9600000,1
20190502,153400,381.1600000,381.1600000,380.6000000,380.6000000,4
20190502,153600,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,161700,381.1600000,381.1600000,381.1600000,381.1600000,2
20190502,163600,380.6000000,381.1600000,380.6000000,380.6000000,3
20190502,163700,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,164100,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,165300,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,173500,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,173900,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,182600,381.1600000,381.1600000,381.1600000,381.1600000,5
20190502,190100,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,191700,381.1600000,381.1600000,381.1600000,381.1600000,2
20190502,193500,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,193700,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,195300,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,200100,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,203500,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,203900,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,212600,381.1600000,381.1600000,381.1600000,381.1600000,5
20190502,214400,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,220100,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,220600,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,221500,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,223400,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,223500,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,230100,381.1600000,381.1600000,381.1600000,381.1600000,1
20190502,234700,381.1600000,381.1600000,381.1600000,381.1600000,4
20190503,004400,381.1600000,381.1600000,381.1600000,381.1600000,1
20190503,010000,381.1600000,381.1600000,381.1600000,381.1600000,0
20190503,010600,381.1600000,381.1600000,381.1600000,381.1600000,1
20190503,011500,381.1600000,381.1600000,381.1600000,381.1600000,1
20190503,011900,381.1600000,381.1600000,381.1600000,381.1600000,1
20190503,013400,381.1600000,381.1600000,381.1600000,381.1600000,1
20190503,024700,381.1600000,381.1600000,381.1600000,381.1600000,4
20190503,032900,381.1600000,381.1600000,381.1600000,381.1600000,1
20190503,033000,381.1600000,381.1600000,381.1600000,381.1600000,1
20190503,041900,381.1600000,381.1600000,381.1600000,381.1600000,1
20190503,045100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,053400,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,054800,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,054900,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,055800,381.1600000,381.4600000,380.6000000,380.6000000,8
20190503,060100,381.4600000,381.4600000,380.6000000,380.6000000,5
20190503,060300,381.4600000,381.4600000,381.4600000,381.4600000,1
20190503,062500,381.4600000,381.4600000,381.4600000,381.4600000,1
20190503,062900,381.1600000,381.1600000,381.1600000,381.1600000,1
20190503,063000,381.1600000,381.1600000,381.1600000,381.1600000,1
20190503,075100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,083400,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,084800,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,084900,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,085800,381.1600000,381.4600000,380.6000000,380.6000000,8
20190503,090100,381.4600000,381.4600000,380.6000000,380.6000000,5
20190503,090300,381.4600000,381.4600000,381.4600000,381.4600000,1
20190503,092500,381.4600000,381.4600000,381.4600000,381.4600000,1
20190503,152000,380.6000000,380.6000000,380.6000000,380.6000000,2
20190503,153400,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,163200,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,175100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,182000,380.6000000,380.6000000,380.6000000,380.6000000,2
20190503,183400,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,191500,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,193200,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,193300,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,200800,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,202600,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,205100,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,212800,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,220700,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,221500,380.6000000,380.6000000,380.6000000,380.6000000,1
20190503,223300,380.6000000,380.6000000,380.6000000,380.6000000,1
